,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20
Pseudo Dionysius the Areopagite_3 Outline and Content of the Works.txt,"('names', 48)","('intelligible', 35)","('dionysius', 33)","('godhead', 26)","('god', 19)","('theology', 17)","('contemplation', 16)","('name', 15)","('may', 11)","('human', 11)","('within', 10)","('visible', 10)","('must', 9)","('rites', 9)","('since', 8)","('structure', 8)","('form', 8)","('truth', 8)","('laity', 8)","('theological', 7)"
Teleological Theories of Mental Content_4 Problems for Teleosemantics.txt,"('content', 56)","('theories', 37)","('teleological', 31)","('theory', 28)","('swampman', 28)","('causal', 24)","('selection', 23)","('function', 23)","('would', 21)","('one', 20)","('selected', 19)","('might', 18)","('problem', 16)","('functions', 16)","('cannot', 16)","('swampmans', 16)","('small', 15)","('dark', 15)","('moving', 15)","('case', 15)"
Medieval Theories  Properties of Terms_1 Historical Survey.txt,"('supposition', 22)","('term', 20)","('signification', 13)","('properties', 12)","('terms', 12)","('century', 9)","('name', 9)","('appellation', 8)","('property', 8)","('univocation', 7)","('things', 7)","('men', 7)","('form', 6)","('peter', 5)","('one', 5)","('latter', 5)","('subject', 5)","('predicate', 5)","('even', 5)","('many', 4)"
Physicalism_3 Supervenience Physicalism Introductory.txt,"('physicalism', 10)","('world', 8)","('supervenience', 7)","('picture', 6)","('physical', 6)","('features', 6)","('identical', 6)","('answer', 5)","('completeness', 4)","('question', 4)","('dots', 4)","('biological', 4)","('social', 4)","('global', 4)","('one', 3)","('idea', 3)","('might', 3)","('example', 3)","('psychological', 3)","('properties', 3)"
Tarskis Truth Definitions_1 The 1933 programme and the semantic conception.txt,"('definition', 19)","('truth', 13)","('metalanguage', 13)","('language', 12)","('set', 12)","('theory', 12)","('true', 11)","('tarski', 10)","('sentence', 8)","('sentences', 7)","('give', 6)","('object', 6)","('notions', 5)","('one', 5)","('axioms', 5)","('would', 5)","('sigman', 5)","('definitions', 4)","('first', 4)","('given', 4)"
Ernst Mach_2 Biography and Early Development.txt,"('mach', 25)","('vienna', 9)","('first', 8)","('sound', 8)","('physics', 7)","('physiology', 7)","('new', 7)","('also', 7)","('work', 7)","('one', 7)","('speed', 7)","('years', 6)","('sciences', 5)","('graz', 4)","('prague', 4)","('müller', 4)","('psychophysics', 4)","('doppler', 4)","('herbart', 4)","('mechanical', 4)"
Descriptions_8 Conclusion.txt,"('russell', 3)","('natural', 2)","('language', 2)","('constructions', 2)","('languages', 2)","('like', 2)","('critical', 2)","('quantificational', 2)","('referential', 2)","('may', 2)","('encode', 2)","('task', 2)","('close', 1)","('study', 1)","('syntax', 1)","('semantics', 1)","('suggests', 1)","('form', 1)","('rare', 1)","('potentially', 1)"
Moral Non Naturalism_1 The Naturalistic Fallacy.txt,"('fallacy', 15)","('naturalistic', 13)","('moore', 11)","('goodness', 8)","('also', 7)","('pleasant', 6)","('property', 6)","('naturalists', 5)","('argument', 5)","('naturalism', 5)","('guilty', 4)","('natural', 4)","('properties', 4)","('committed', 4)","('moral', 4)","('socalled', 4)","('point', 4)","('nonnaturalist', 4)","('anyone', 3)","('example', 3)"
Logic and Artificial Intelligence_5 Causal Reasoning.txt,"('causality', 15)","('reasoning', 7)","('important', 5)","('causal', 4)","('theories', 3)","('work', 3)","('qualitative', 3)","('see', 3)","('pearl', 3)","('halpern', 3)","('section', 2)","('action', 2)","('change', 2)","('area', 2)","('simon', 2)","('traditions', 2)","('developed', 2)","('program', 2)","('statistical', 2)","('models', 2)"
Logical Constructions_9 The Construction of Matter.txt,"('russell', 16)","('matter', 15)","('sense', 5)","('data', 5)","('objects', 5)","('constructions', 4)","('existence', 4)","('definitions', 3)","('fundamental', 3)","('described', 3)","('construction', 3)","('numbers', 3)","('certain', 3)","('properties', 3)","('features', 3)","('knowledge', 3)","('material', 3)","('time', 3)","('logical', 2)","('logically', 2)"
Otto Neurath_1 Biographical sketch.txt,"('vienna', 10)","('science', 9)","('neurath', 8)","('social', 8)","('economy', 8)","('see', 8)","('political', 7)","('history', 7)","('international', 7)","('intellectual', 6)","('philosophy', 5)","('university', 5)","('war', 5)","('education', 5)","('economic', 4)","('von', 4)","('scientific', 4)","('theory', 4)","('language', 4)","('economics', 3)"
Francis Herbert Bradley_2 Reputation.txt,"('philosophy', 10)","('russell', 6)","('philosophers', 5)","('british', 5)","('bradley', 5)","('reputation', 4)","('one', 4)","('time', 4)","('following', 4)","('analytic', 4)","('widely', 3)","('work', 3)","('began', 3)","('idealist', 3)","('significant', 3)","('king', 3)","('france', 3)","('language', 3)","('truth', 3)","('reality', 3)"
Immanuel Kant_4 The transcendental deduction.txt,"('selfconsciousness', 33)","('kant', 32)","('objective', 31)","('representations', 30)","('experience', 29)","('world', 28)","('must', 22)","('would', 21)","('represent', 17)","('lawgoverned', 17)","('one', 16)","('priori', 16)","('categories', 16)","('house', 15)","('nature', 13)","('view', 12)","('understanding', 12)","('could', 12)","('necessarily', 11)","('formal', 11)"
Carl Hempel_3 Scientific Reasoning.txt,"('hempel', 17)","('instances', 15)","('ravens', 11)","('hypotheses', 9)","('since', 8)","('confirmed', 8)","('black', 8)","('nonravens', 8)","('also', 7)","('significance', 7)","('supset', 7)","('past', 7)","('criterion', 6)","('cognitive', 6)","('matter', 6)","('degree', 6)","('hypothesis', 6)","('even', 6)","('distinction', 5)","('criteria', 5)"
The Philosophy of Neuroscience_4 Consciousness Explained.txt,"('consciousness', 16)","('experience', 13)","('conscious', 11)","('color', 10)","('one', 8)","('brain', 7)","('philosophical', 7)","('experiences', 7)","('neuroscientific', 6)","('many', 5)","('scientific', 5)","('two', 5)","('question', 5)","('activity', 5)","('features', 5)","('colors', 5)","('neurophilosophical', 5)","('dennett', 4)","('see', 4)","('argued', 4)"
Vagueness_7 Contextualism.txt,"('sorites', 15)","('horizon', 8)","('vague', 8)","('step', 7)","('monger', 7)","('context', 7)","('contextualism', 5)","('indexical', 5)","('away', 5)","('induction', 5)","('meters', 5)","('shifts', 5)","('words', 5)","('instance', 5)","('contextualists', 4)","('terms', 4)","('true', 4)","('cases', 4)","('could', 4)","('would', 4)"
Medieval Theories  Properties of Terms_3 Supposition and Copulation.txt,"('supposition', 54)","('term', 32)","('supposits', 17)","('one', 15)","('personal', 13)","('simple', 12)","('common', 12)","('material', 11)","('proposition', 11)","('modes', 10)","('predicate', 10)","('signifies', 9)","('confused', 9)","('sherwood', 8)","('called', 8)","('terms', 8)","('however', 7)","('william', 7)","('burley', 7)","('ockham', 7)"
Logical Constants_1 Syncategorematic terms.txt,"('logical', 13)","('syncategorematic', 10)","('function', 9)","('constants', 8)","('terms', 8)","('categorematic', 8)","('indicate', 7)","('form', 7)","('would', 7)","('words', 6)","('term', 6)","('expressions', 6)","('propositions', 5)","('distinction', 5)","('together', 5)","('functional', 5)","('subjectpredicate', 4)","('subject', 4)","('predicate', 4)","('see', 4)"
George Edward Moore_7 Moores Legacy.txt,"('something', 5)","('moore', 4)","('believe', 4)","('systematic', 2)","('sense', 2)","('moores', 2)","('discussions', 2)","('case', 2)","('raining', 2)","('saying', 2)","('absurd', 2)","('say', 2)","('explanation', 2)","('philosopher', 1)","('unlike', 1)","('reids', 1)","('philosophy', 1)","('common', 1)","('system', 1)","('even', 1)"
Alfred Tarski_1 Biographical sketch.txt,"('tarski', 6)","('university', 6)","('mathematics', 4)","('berkeley', 4)","('warsaw', 3)","('school', 3)","('logic', 3)","('science', 3)","('family', 2)","('see', 2)","('held', 2)","('positions', 2)","('period', 2)","('professorship', 2)","('maria', 2)","('soon', 2)","('ina', 2)","('jan', 2)","('states', 2)","('war', 2)"
Alfred North Whitehead_6 Metaphysics.txt,"('actual', 30)","('whitehead', 26)","('world', 13)","('experience', 13)","('subjective', 13)","('objective', 12)","('entity', 12)","('feeling', 12)","('process', 11)","('also', 11)","('form', 11)","('science', 10)","('reality', 10)","('content', 10)","('nature', 9)","('eternal', 9)","('one', 8)","('feelings', 8)","('occasion', 8)","('theory', 7)"
Eliminative Materialism_1 A Brief History.txt,"('mental', 23)","('states', 15)","('eliminative', 14)","('materialism', 11)","('commonsense', 9)","('state', 9)","('article', 7)","('terms', 7)","('like', 6)","('psychology', 6)","('eliminativism', 6)","('theory', 6)","('physical', 6)","('brain', 6)","('different', 5)","('many', 5)","('quine', 5)","('feyerabend', 5)","('would', 5)","('notions', 5)"
Analysis_6 Conceptions of Analysis in Analytic Philosophy and the Introduction of the Logical Transformative Conception.txt,"('analysis', 30)","('analytic', 18)","('logical', 15)","('see', 15)","('philosophy', 13)","('section', 11)","('frege', 10)","('supplementary', 10)","('conception', 8)","('form', 8)","('concept', 8)","('logic', 7)","('geometry', 7)","('number', 7)","('statement', 7)","('characterizes', 6)","('decompositional', 6)","('early', 6)","('russell', 6)","('may', 6)"
Descartes Epistemology_4 The Cogito and Doubt.txt,"('doubt', 48)","('cogito', 43)","('descartes', 34)","('knowledge', 21)","('thinking', 17)","('csm', 17)","('passage', 16)","('perfect', 15)","('matters', 14)","('even', 14)","('point', 13)","('med', 13)","('certainty', 12)","('propositions', 12)","('evil', 12)","('genius', 12)","('think', 11)","('existence', 11)","('epistemic', 11)","('nature', 11)"
Second order and Higher order Logic_5 The Infamous Power of SecondOrder Logic.txt,"('logic', 36)","('secondorder', 32)","('set', 21)","('order', 16)","('first', 15)","('theory', 14)","('let', 11)","('sentence', 11)","('theorem', 10)","('model', 9)","('axiom', 9)","('see', 8)","('sets', 8)","('choice', 8)","('numbers', 7)","('formula', 7)","('truth', 6)","('vocabulary', 6)","('function', 5)","('decidable', 5)"
Abstract Objects_3 The Way of Negation.txt,"('abstract', 41)","('space', 28)","('objects', 27)","('sense', 22)","('object', 21)","('say', 20)","('exist', 17)","('time', 15)","('sets', 15)","('concrete', 14)","('occupy', 13)","('way', 12)","('causal', 12)","('items', 11)","('set', 11)","('peter', 11)","('account', 10)","('mental', 10)","('even', 10)","('minddependent', 9)"
A Priori Justification and Knowledge_4 What is the nature of a priori justification.txt,"('justification', 72)","('priori', 61)","('evidence', 40)","('justified', 39)","('intuitions', 38)","('true', 27)","('case', 25)","('would', 24)","('proposition', 24)","('rational', 24)","('knowledge', 22)","('even', 19)","('certain', 18)","('one', 18)","('judgment', 18)","('belief', 18)","('like', 17)","('person', 17)","('intuitive', 17)","('judgments', 17)"
Physicalism_4 Supervenience Physicalism Further Issues.txt,"('physicalism', 38)","('world', 37)","('problem', 20)","('physical', 19)","('mental', 14)","('properties', 12)","('true', 12)","('duplicate', 11)","('possible', 10)","('one', 10)","('epiphenomenal', 8)","('ectoplasm', 8)","('blockers', 8)","('would', 8)","('distribution', 7)","('actual', 7)","('necessary', 7)","('contingent', 7)","('statement', 7)","('supervenience', 6)"
Wittgensteins Philosophy of Mathematics_3 The Later Wittgenstein on Mathematics Some Preliminaries.txt,"('wittgenstein', 91)","('rfm', 80)","('mathematical', 61)","('proposition', 45)","('mathematics', 37)","('later', 35)","('says', 35)","('calculus', 33)","('proof', 30)","('true', 29)","('provable', 22)","('propositions', 21)","('one', 20)","('say', 19)","('numbers', 19)","('lfm', 18)","('set', 18)","('means', 16)","('iii', 15)","('unprovable', 15)"
Neutral Monism_3 The Relationship between Neutral and NonNeutral Entities.txt,"('entities', 9)","('neutral', 6)","('nonbasic', 5)","('question', 5)","('see', 5)","('section', 4)","('basic', 3)","('nonneutral', 3)","('two', 3)","('monism', 2)","('relationship', 2)","('answer', 2)","('hand', 2)","('threat', 2)","('grounding', 2)","('extant', 1)","('versions', 1)","('seem', 1)","('acknowledge', 1)","('addition', 1)"
Reference_3 Indexicals.txt,"('indexicals', 32)","('refer', 31)","('speaker', 26)","('reference', 23)","('use', 21)","('like', 20)","('picture', 20)","('context', 19)","('kaplan', 19)","('theory', 18)","('one', 17)","('intentions', 17)","('impure', 16)","('might', 16)","('gricean', 16)","('object', 14)","('names', 14)","('terms', 14)","('rather', 14)","('uses', 13)"
Medieval Theories  Properties of Terms_4 Ampliation and Restriction.txt,"('white', 24)","('black', 11)","('true', 9)","('proposition', 7)","('thing', 7)","('possible', 7)","('past', 6)","('ampliation', 6)","('ampliates', 5)","('subject', 5)","('false', 5)","('account', 5)","('one', 5)","('supposition', 4)","('man', 4)","('supposita', 4)","('means', 4)","('something', 4)","('restriction', 4)","('supposit', 4)"
Behaviorism_2 Three Types of Behaviorism.txt,"('behaviorism', 9)","('psychology', 5)","('behavior', 5)","('mental', 5)","('states', 5)","('work', 5)","('analytical', 4)","('methodological', 3)","('terms', 3)","('particular', 3)","('lever', 3)","('theory', 2)","('concern', 2)","('human', 2)","('internal', 2)","('beliefs', 2)","('watson', 2)","('psychological', 2)","('within', 2)","('stimuli', 2)"
Ernst Cassirer_3 Philosophy of Mathematics and Natural Science.txt,"('cassirer', 15)","('theory', 11)","('philosophical', 10)","('mathematical', 10)","('conception', 9)","('general', 9)","('mathematics', 9)","('modern', 8)","('knowledge', 8)","('work', 8)","('philosophy', 7)","('particular', 6)","('process', 6)","('series', 6)","('logic', 6)","('empiricism', 6)","('pure', 6)","('abstract', 6)","('structures', 6)","('time', 5)"
Other Minds_4 Thinking about Mind Prior to the Twentieth Century.txt,"('others', 22)","('work', 16)","('one', 12)","('mind', 10)","('find', 10)","('minds', 10)","('reid', 9)","('another', 9)","('philosophers', 8)","('argument', 7)","('solipsism', 7)","('ideas', 7)","('reason', 7)","('hume', 6)","('concerning', 5)","('philosophy', 5)","('malebranche', 5)","('cartesian', 5)","('cannot', 5)","('also', 5)"
Set Theory_4 The universe V of all sets.txt,"('valpha', 15)","('set', 9)","('alpha', 8)","('zfc', 8)","('ordinal', 5)","('axiom', 5)","('axioms', 4)","('union', 3)","('one', 3)","('thus', 3)","('model', 3)","('reflection', 3)","('principle', 3)","('property', 2)","('namely', 2)","('transfinite', 2)","('assigns', 2)","('limit', 2)","('replacement', 2)","('beta', 2)"
Narrow Mental Content_6 Further Issues.txt,"('narrow', 27)","('content', 25)","('water', 21)","('belief', 20)","('state', 16)","('particular', 14)","('wet', 13)","('type', 11)","('token', 11)","('mental', 10)","('different', 10)","('oscars', 9)","('weight', 9)","('might', 9)","('know', 8)","('whether', 8)","('subject', 8)","('beliefs', 6)","('could', 6)","('need', 6)"
William of Ockham_6 Theory of Knowledge.txt,"('cognition', 16)","('theory', 10)","('intuitive', 10)","('species', 9)","('abstractive', 9)","('object', 6)","('sense', 5)","('found', 5)","('like', 4)","('knowledge', 4)","('one', 4)","('ockham', 4)","('thing', 4)","('medieval', 3)","('instead', 3)","('natural', 3)","('level', 3)","('configuration', 3)","('also', 3)","('intellectual', 3)"
Knowledge by Acquaintance vs  Description_6 Fallible Noninferentially Justified Beliefs.txt,"('one', 25)","('justification', 21)","('acquaintance', 20)","('pain', 16)","('probable', 14)","('aware', 13)","('justified', 12)","('beliefs', 12)","('belief', 11)","('propositions', 11)","('believing', 10)","('proposition', 9)","('principle', 9)","('given', 9)","('might', 8)","('directly', 8)","('plausible', 7)","('experience', 7)","('degree', 7)","('fact', 7)"
Karl Popper_7 Scientific Knowledge History and Prediction.txt,"('scientific', 16)","('unconditional', 14)","('prophecies', 12)","('prediction', 11)","('natural', 9)","('popper', 7)","('eclipses', 7)","('human', 7)","('sciences', 7)","('science', 7)","('system', 7)","('possible', 6)","('predictions', 6)","('take', 6)","('solar', 5)","('laws', 5)","('conditional', 5)","('historicist', 5)","('systems', 5)","('successful', 4)"
Constructive Mathematics_7 Constructive Mathematical Economics and Finance.txt,"('mathematical', 4)","('constructive', 3)","('existence', 3)","('berger', 3)","('svindland', 3)","('theorem', 3)","('economics', 2)","('demand', 2)","('classical', 2)","('project', 2)","('finance', 2)","('extreme', 2)","('investigations', 1)","('date', 1)","('back', 1)","('series', 1)","('papers', 1)","('preference', 1)","('utility', 1)","('onwards', 1)"
Mental Imagery_3 Imagery in the Age of Scientific Psychology.txt,"('imagery', 40)","('mental', 29)","('thought', 22)","('psychology', 19)","('images', 16)","('theory', 14)","('language', 14)","('image', 14)","('see', 13)","('würzburg', 13)","('philosophers', 13)","('cognitive', 12)","('meaning', 12)","('imageless', 11)","('even', 11)","('pictures', 11)","('century', 10)","('titchener', 10)","('however', 10)","('although', 10)"
Mental Representation_9 Thought and Language.txt,"('properties', 13)","('mental', 8)","('democracy', 8)","('dying', 8)","('semantic', 7)","('true', 6)","('states', 6)","('say', 5)","('thought', 5)","('expressions', 5)","('representations', 4)","('express', 4)","('see', 4)","('also', 4)","('think', 3)","('linguistic', 3)","('language', 3)","('object', 2)","('false', 2)","('suppose', 2)"
Descartes Epistemology_1 Conception of Knowledge.txt,"('knowledge', 19)","('ideas', 18)","('descartes', 14)","('see', 13)","('perfect', 12)","('doubt', 9)","('innate', 8)","('meditations', 7)","('terms', 7)","('certainty', 7)","('epistemic', 7)","('csm', 7)","('prima', 7)","('facie', 7)","('intuitions', 6)","('sensory', 6)","('account', 5)","('justification', 5)","('perception', 5)","('principles', 5)"
A Priori Justification and Knowledge_5 Should we think that rational intuitions provide evidence for the propositions that are their objects.txt,"('intuitions', 19)","('bealer', 14)","('rational', 11)","('seems', 10)","('basic', 10)","('intuition', 9)","('evidence', 9)","('source', 9)","('possible', 8)","('part', 8)","('would', 7)","('person', 7)","('reliable', 7)","('conditions', 7)","('ideal', 7)","('casullo', 7)","('priori', 7)","('spatial', 6)","('region', 6)","('necessarily', 6)"
Simplicity_2 Ontological Parsimony.txt,"('parsimony', 18)","('ontological', 12)","('question', 9)","('epistemic', 9)","('justification', 9)","('occams', 7)","('razor', 7)","('theory', 7)","('theories', 7)","('two', 7)","('pragmatic', 7)","('parsimonious', 6)","('principles', 6)","('rational', 5)","('one', 5)","('entities', 5)","('second', 5)","('kinds', 5)","('elegance', 5)","('sober', 5)"
Tarskis Truth Definitions_3 The 1956 definition and its offspring.txt,"('definition', 14)","('one', 11)","('constants', 9)","('variables', 9)","('truth', 9)","('tarski', 8)","('language', 8)","('example', 7)","('quantifier', 7)","('quantifiers', 7)","('semantics', 7)","('two', 6)","('symbols', 6)","('structure', 6)","('use', 6)","('sentence', 6)","('problem', 6)","('logic', 6)","('languages', 5)","('meaning', 5)"
Intrinsic vs  Extrinsic Value_2 What Is Intrinsic Value.txt,"('good', 68)","('value', 61)","('would', 32)","('intrinsic', 30)","('intrinsically', 24)","('concept', 22)","('something', 22)","('goodness', 21)","('one', 17)","('state', 17)","('terms', 15)","('way', 15)","('analysis', 15)","('say', 14)","('sake', 13)","('affairs', 13)","('fitting', 13)","('may', 12)","('might', 12)","('question', 12)"
Reference_5 Four Models of Linguistic Reference.txt,"('reference', 15)","('terms', 14)","('referential', 13)","('refer', 12)","('particular', 12)","('model', 11)","('words', 9)","('sort', 9)","('virtue', 8)","('use', 8)","('character', 8)","('theory', 8)","('mental', 6)","('might', 5)","('object', 5)","('causal', 5)","('state', 5)","('token', 5)","('certain', 5)","('sorts', 4)"
Propositional Attitude Reports_2 Freges theory.txt,"('attitude', 9)","('frege', 8)","('scope', 7)","('refer', 7)","('propositional', 6)","('within', 6)","('different', 6)","('sense', 6)","('way', 5)","('expression', 5)","('express', 5)","('difference', 5)","('truthvalue', 5)","('verb', 4)","('representing', 4)","('ordinary', 4)","('occur', 4)","('expressions', 4)","('senses', 4)","('terms', 4)"
Singular Propositions_6 Temporal Problems for Singular Propositions.txt,"('propositions', 6)","('singular', 5)","('exist', 5)","('proposition', 5)","('constituent', 5)","('problems', 4)","('determinate', 4)","('two', 4)","('arms', 4)","('modal', 3)","('problem', 3)","('one', 3)","('hand', 3)","('objects', 3)","('ordinary', 3)","('denying', 3)","('temporal', 3)","('consider', 3)","('seems', 3)","('socrates', 3)"
Folk Psychology as Mental Simulation_6 Simulation Theory Pros and Cons.txt,"('mental', 25)","('mindreading', 16)","('states', 16)","('false', 15)","('goldman', 12)","('action', 12)","('belief', 12)","('infants', 12)","('processes', 11)","('box', 11)","('ability', 10)","('simulation', 9)","('one', 9)","('see', 9)","('mirroring', 8)","('understanding', 8)","('beliefs', 8)","('represent', 8)","('task', 8)","('actor', 8)"
Behaviorism_7 Why be AntiBehaviorist.txt,"('behavior', 43)","('behaviorism', 21)","('reinforcement', 15)","('may', 12)","('environment', 11)","('see', 10)","('learning', 9)","('behaviorist', 9)","('history', 9)","('one', 9)","('brain', 8)","('skinner', 8)","('language', 8)","('therapy', 7)","('mental', 7)","('cannot', 7)","('neuroscience', 6)","('mind', 6)","('relations', 6)","('also', 6)"
Ancient Logic_2 Aristotle.txt,"('aristotle', 30)","('sentences', 20)","('syllogisms', 20)","('term', 12)","('logic', 11)","('logical', 11)","('universal', 11)","('first', 10)","('figure', 10)","('true', 9)","('conclusion', 9)","('modal', 9)","('analytics', 8)","('one', 8)","('subject', 8)","('sentence', 8)","('two', 8)","('either', 8)","('negation', 8)","('particular', 8)"
Constructive Mathematics_1 Introduction.txt,"('interpretation', 14)","('neg', 7)","('mathematicians', 6)","('vee', 6)","('case', 6)","('statement', 6)","('computational', 6)","('assert', 5)","('disjunction', 5)","('natural', 5)","('one', 5)","('decide', 5)","('either', 5)","('proof', 5)","('goldbach', 5)","('two', 5)","('classical', 5)","('example', 5)","('recursive', 5)","('rational', 5)"
Facts_1 Philosophies of Facts.txt,"('facts', 135)","('fact', 78)","('affairs', 52)","('sam', 48)","('view', 40)","('one', 38)","('may', 29)","('states', 29)","('state', 27)","('properties', 27)","('see', 24)","('brute', 24)","('true', 23)","('relations', 22)","('sad', 22)","('metaphysical', 22)","('explanation', 22)","('objects', 21)","('explanations', 19)","('claim', 15)"
Modal Fictionalism_1 Types of Modal Fictionalism.txt,"('modal', 92)","('possible', 91)","('worlds', 83)","('fiction', 48)","('fictionalism', 31)","('one', 29)","('true', 26)","('objects', 23)","('claims', 22)","('fictionalist', 22)","('merely', 19)","('theory', 19)","('talk', 19)","('might', 18)","('rosen', 17)","('according', 16)","('would', 16)","('could', 14)","('truth', 13)","('many', 13)"
Varieties of Modality_2 Metaphysical and Nomic Modality.txt,"('laws', 21)","('necessity', 11)","('may', 9)","('law', 8)","('properties', 8)","('metaphysically', 8)","('causal', 8)","('necessary', 6)","('counterfactual', 6)","('different', 6)","('associated', 5)","('argument', 5)","('powers', 5)","('robustness', 5)","('see', 5)","('true', 5)","('objects', 5)","('possible', 5)","('worlds', 5)","('situation', 5)"
Causal Theories of Mental Content_1 Introduction.txt,"('content', 4)","('mental', 3)","('attempt', 2)","('explain', 2)","('thoughts', 2)","('said', 1)","('asserted', 1)","('thought', 1)","('believed', 1)","('desired', 1)","('hoped', 1)","('etc', 1)","('states', 1)","('processes', 1)","('causal', 1)","('theories', 1)","('gives', 1)","('beliefs', 1)","('desires', 1)","('forth', 1)"
Physicalism_10 Nonmodal Definitions of Physicalism.txt,"('physicalism', 45)","('property', 23)","('supervenience', 19)","('realization', 17)","('causal', 14)","('entail', 12)","('grounding', 12)","('one', 10)","('secondorder', 10)","('properties', 10)","('might', 9)","('subset', 9)","('see', 7)","('suppose', 7)","('objection', 6)","('definition', 6)","('wilson', 6)","('theoretical', 5)","('call', 5)","('notion', 5)"
Causal Theories of Mental Content_3 Specific Causal Theories of Mental Content.txt,"('one', 63)","('law', 59)","('dogs', 53)","('causes', 48)","('dog', 48)","('conditions', 40)","('natural', 37)","('means', 36)","('cause', 29)","('causal', 28)","('might', 28)","('would', 28)","('say', 26)","('problem', 24)","('kind', 23)","('fox', 22)","('laws', 22)","('foxes', 22)","('mean', 21)","('mental', 20)"
Alfred North Whitehead_8 Whiteheads Influence.txt,"('whitehead', 18)","('process', 13)","('thought', 7)","('whiteheadian', 7)","('philosophical', 6)","('cobb', 6)","('series', 6)","('many', 5)","('philosophy', 5)","('weber', 5)","('ecological', 5)","('school', 4)","('one', 4)","('international', 4)","('relatedness', 3)","('indeed', 3)","('well', 3)","('analytic', 3)","('philosophers', 3)","('example', 3)"
Propositions_5 Linguistic Problems.txt,"('argument', 13)","('common', 8)","('one', 4)","('propositions', 4)","('sentences', 4)","('entity', 4)","('thatclauses', 4)","('commonalties', 3)","('thus', 3)","('another', 3)","('sort', 3)","('single', 3)","('something', 3)","('certain', 3)","('sound', 3)","('instances', 3)","('premises', 3)","('designata', 3)","('must', 3)","('metaphysics', 3)"
Modal Logic_14 Modal Logic and Games.txt,"('game', 20)","('games', 15)","('players', 12)","('moves', 10)","('state', 10)","('player', 9)","('modal', 8)","('information', 8)","('logic', 7)","('logics', 7)","('one', 7)","('may', 7)","('operators', 7)","('cheat', 6)","('move', 6)","('play', 5)","('semantics', 5)","('research', 4)","('cooperate', 4)","('best', 4)"
Logicism and Neologicism_1 Historical background.txt,"('one', 84)","('number', 49)","('theory', 47)","('frege', 43)","('numbers', 36)","('type', 36)","('types', 34)","('set', 33)","('would', 30)","('concept', 28)","('logical', 27)","('natural', 25)","('classes', 25)","('could', 24)","('form', 23)","('class', 23)","('principle', 21)","('objects', 21)","('within', 20)","('axiom', 20)"
Medieval Theories of the Syllogism_9 Later Medieval Developments of the Theory.txt,"('logic', 7)","('syllogistic', 5)","('buridan', 5)","('aristotle', 5)","('little', 3)","('modal', 3)","('said', 2)","('logicians', 2)","('theory', 2)","('fifteenth', 2)","('perhaps', 2)","('ockham', 2)","('interpretation', 2)","('reached', 1)","('height', 1)","('development', 1)","('next', 1)","('two', 1)","('hundred', 1)","('years', 1)"
Intrinsic vs  Extrinsic Value_3 Is There Such a Thing As Intrinsic Value At All.txt,"('value', 86)","('intrinsic', 38)","('something', 19)","('good', 16)","('view', 11)","('property', 10)","('may', 10)","('extrinsic', 10)","('final', 10)","('moral', 9)","('moore', 9)","('way', 9)","('korsgaard', 9)","('concept', 8)","('even', 8)","('philosophers', 8)","('one', 8)","('properties', 8)","('virtue', 8)","('sort', 8)"
Knowledge by Acquaintance vs  Description_4 Acquaintance Thought and A Priori Knowledge.txt,"('thought', 14)","('knowledge', 10)","('acquaintance', 9)","('acquainted', 8)","('truth', 6)","('objects', 4)","('directly', 4)","('universals', 4)","('necessary', 4)","('give', 4)","('view', 3)","('one', 3)","('property', 3)","('relation', 3)","('role', 2)","('special', 2)","('russell', 2)","('possible', 2)","('also', 2)","('see', 2)"
Gertrude Elizabeth Margaret Anscombe_1 Life.txt,"('anscombe', 7)","('oxford', 5)","('cambridge', 4)","('college', 3)","('geach', 3)","('allen', 2)","('later', 2)","('philosophy', 2)","('remained', 2)","('research', 2)","('fellowship', 2)","('chair', 2)","('retirement', 2)","('peter', 2)","('controversy', 2)","('decision', 2)","('born', 1)","('limerick', 1)","('ireland', 1)","('march', 1)"
The Contents of Perception_7 Content and Phenomenology.txt,"('experiences', 28)","('experience', 27)","('content', 21)","('phenomenology', 21)","('properties', 16)","('representationalism', 15)","('one', 12)","('representational', 12)","('phenomenal', 10)","('conditions', 10)","('two', 9)","('notion', 9)","('claim', 8)","('visual', 8)","('accuracy', 8)","('thesis', 7)","('different', 6)","('whether', 6)","('something', 6)","('impure', 6)"
Logical Form_6 Regimentation and Communicative Slack.txt,"('language', 24)","('sentences', 19)","('logical', 15)","('propositions', 12)","('natural', 12)","('form', 10)","('use', 9)","('sentence', 8)","('view', 8)","('express', 7)","('speakers', 7)","('freges', 7)","('quantification', 7)","('could', 6)","('idea', 6)","('see', 6)","('one', 6)","('would', 6)","('best', 6)","('quine', 6)"
Luitzen Egbertus Jan Brouwer_4 Brouwers Development of Intuitionism.txt,"('brouwer', 17)","('mathematics', 14)","('sequences', 12)","('choice', 11)","('principle', 10)","('classical', 9)","('logic', 7)","('intuitionistic', 7)","('one', 7)","('first', 7)","('theorem', 7)","('dissertation', 6)","('theory', 6)","('pem', 6)","('neg', 6)","('strong', 6)","('philosophy', 5)","('general', 5)","('mathematical', 5)","('counterexamples', 5)"
